Name,Site Characteristics,Plant Traits,Special Considerations,Growing Information
Angelica,Sunlight: part shade full shade Plants do best in the shadiest and coolest part of garden especially during a hot summers. Soil conditions: requires well-drained soil tolerates damp soil requires high fertility Prefers moist but well-drained and slightly acidic soil. Hardiness zones: 4 to 9,Lifecycle: biennial  perennial Plants are usually biennial  but may last a third or fourth year  especially if you remove flowers. Some sources list as a short-lived perennial. Ease-of-care: easy Height: 3 to 6 feet Spread: 2 to 4 feet Bloom time: early summer mid-summer Blooms usually start in June and last through July. Flower color: green white Greenish-white to greenish-yellow. Foliage color: medium green Foliage texture: coarse Leaves form a basal rosette the first year and then fine textured flower stems rise above the foliage the second year. Shape: upright Shape in flower: same as above,Special characteristics: deer resistant non-aggressive - Seed will self-sow sparingly. non-invasive not native to North America - Northern Europe and Asia Attracts: beneficial insects - Bees Special uses: edible landscaping,How to plant: Propagate by seed  division or separation - Sow seeds every year to ensure flowering plants each year as plants flower only in the second year.The plant can be propagated by offshoots of second year plants or division of second year roots.Seed will self-sow sparingly. Days to emergence: 14 to 28 Maintenance and care: Seedlings should be transplanted when they reach four to six inches as they form a long tap root.To maintain as a perennial foliage plant for up to 4 years without replanting  but back the flower stems after flowering. Any bloom in the fourth year will not be significant. The best strategy is perhaps to treat plants as a biennial  and encourage reseeding each year. More growing information: How to Grow Perennials Pests: Red spider mite will attack during dry spells. To control  spray water on the underside of the leaves .Leaf miner on foliage.Aphids on ripening fruit. Diseases: Leaf spot.Viral and fungal diseases may attack leaves in late summer.
Angelonia,Sunlight: full sun Soil conditions: tolerates droughty soil tolerates damp soil Special locations: outdoor containers,Lifecycle: annual Ease-of-care: easy Height: 2 to 3 feet Spread: 0.75 to 1 feet Sprawling habit. Bloom time: mid-summer late summer early fall mid-fall Flower color: violet white pink Foliage color: medium green Foliage texture: medium Shape: upright Shape in flower: flower stalks with upright spikes,Tolerates: heat Special characteristics: non-aggressive non-invasive not native to North America - native to the tropical and subtropical areas of the New World. fragrant - lightly fragrant Special uses: cut flowers,How to plant: Propagate by cuttings - Not available as seed. Best to buy rooted cuttings  which are virus-free. Maintenance and care: Plants continue to flower even if not deadheaded. More growing information: How to Grow Annuals Diseases: Viruses
Artemisia 'Powis Castle',Sunlight: full sun Soil conditions: tolerates droughty soil requires well-drained soil tolerates low fertility Hardiness zones: 6 to 8 Precise Zones have not been determined. May be marginally hardy in Zone 5. Plant in protected areas in Zone 6. Special locations: xeriscapes,Lifecycle: perennial Woody-based perennial. Ease-of-care: moderately difficult May not be winterhardy in some sites in Zone 6 and cooler. Needs careful pruning to maintain appearance through the season. Height: 2 to 3 feet Spread: 3 to 4 feet Bloom time: late summer Flower color: yellow Silvery yellow. Foliage color: gray-green Silvery gray. Foliage texture: fine Shape: cushion  mound or clump Shape in flower: flower stalks with sprays of flowers Flower stalks usually removed to maintain foliage quality.,Special characteristics: non-aggressive non-invasive not native to North America - Hybrid cross of Mediterranean and European/Asian parents.,How to plant: Propagate by cuttings - Make cuttings in summer.Division is very difficult. Maintenance and care: Make cuttings often to replace plants that die.Prune in spring after buds begin to break to control height and spread. Cutting back into old wood that has no live buds can kill plants.Plants often do not flower. If they do  pinch off buds before they open.If plants get leggy and open up in summer  cut back by a half to a third. More growing information: How to Grow Perennials
Aster - Alpine,Sunlight: full sun Soil conditions: tolerates droughty soil requires well-drained soil Hardiness zones: 4 to 7 Possibly hardy in Zone 3. Special locations: rock gardens xeriscapes,Lifecycle: perennial Ease-of-care: easy Height: 0.25 to 1 feet Spread: 1 to 1.5 feet Bloom time: late spring early summer mid-summer Flower color: blue indigo violet white pink Depends on variety. Flowers are traditionally medium to dark violet  but newer hybrids have introduced pale purple  pink  and white blooms. Foliage color: medium green gray-green Starts out grayish green in spring and becomes medium green by summer. Foliage texture: medium Shape: spreading mass Shape in flower: flower stalks with upright spikes Flowers borne individually on stems rising above the foliage.,Special characteristics: non-aggressive non-invasive not native to North America - Native to Europe and Asia.,How to plant: Propagate by cuttings  division or separation - Take cuttings in summer.Divide plants about every 3 years in spring. Maintenance and care: Remove faded blooms.Does not like hot  humid weather. May be short-lived where summers are too warm. More growing information: How to Grow Perennials Pests: Rosy blister gallAphidsTarsonemid mitesNematodesSlugs and snails Diseases: Verticillium wiltGray moldPowdery mildewRustWhite smutAster yellowsLeaf spotsStem cankers
Aster - Frikart's,Sunlight: full sun part shade Soil conditions: tolerates droughty soil requires well-drained soil Hardiness zones: 5 to 8 May require winter protection and excellent drainage to overwinter in Zone 5.,Lifecycle: perennial Ease-of-care: easy Height: 2 to 3 feet Spread: 1 to 3 feet Bloom time: late summer early fall mid-fall Flower color: yellow blue Flowers are lavender blue with yellow centers. Foliage color: dark green Foliage tends to become sparse in summer  so plant near a foliage plant that will mask the bareness. Foliage texture: medium Shape: cushion  mound or clump spreading mass upright loose and formless Forms a loose bushy mound. Shape in flower: flower stalks with upright spikes Flowers borne on stems rising above the foliage.,Special characteristics: non-aggressive non-invasive not native to North America - Horticultural hybrid from Italian and Himilayan asters  first grown in Switzerland. Special uses: cut flowers - The flowers are attractive but last only briefly when cut.,How to plant: Propagate by cuttings  division or separation - Take cuttings in spring.Divide plant about every 3 years in the spring.Seed is available but flower flower color may be variable. Saved seed does not breed true. Maintenance and care: Has a long bloom period even without deadheading. Use care when deadheading as buds for new flowers are located close to the old blooms. Cutting back in May or June can improve growth habit but delays flowering. To improve overwintering  wait until spring to cut back foliage. May need winter protection and good drainage to survive Zone 5 winters. More growing information: How to Grow Perennials
Aster - New England,Sunlight: full sun part shade Prefers full sun. Soil conditions: requires well-drained soil Hardiness zones: 4 to 8,Lifecycle: perennial Ease-of-care: easy Height: 3 to 6 feet Spread: 2 to 4 feet Bloom time: late summer early fall Flower color: red blue indigo violet white pink Depends on variety. Foliage color: medium green gray-green Mid-green to gray-green and hairy. Foliage texture: medium Shape: upright Plants are upright but loose and open. Shape in flower: flower stalks with upright spikes Flowers borne above the foliage.,Special characteristics: non-aggressive - May self-seed some under optimal conditions. non-invasive native to North America - Native to eastern and central U.S. Special uses: cut flowers - Last longer in water than New York asters (A. novi belgi). wildflowers naturalistic garden,How to plant: Propagate by seed  division or separation - May self-seed. Divide in spring. Maintenance and care: Usually requires staking  especially taller varieties. Pinch early in the season to produce shorter  bushier  sturdier plants that may not need staking.Cut plants back after flowering to avoid self-seeding or if foliage is unsightly. More growing information: How to Grow Perennials Pests: Powdery mildew occasionally. Provide good air circulation.Aster wilt on poorly drained clay soil.
Aster - New York (tall varieties),Sunlight: full sun part shade Soil conditions: requires well-drained soil Hardiness zones: 4 to 8,Lifecycle: perennial Ease-of-care: easy Height: 2.5 to 4 feet Spread: 1 to 1.5 feet Bloom time: late summer early fall Typically in full flower around September 29  the Feast of St. Michael  hence their common name of Michaelmas Daisy. Flower color: blue indigo violet white pink Usually purple with yellow centers  but hybrids are available with pink  white  and blue blooms. Foliage color: medium green dark green Foliage texture: medium Shape: upright Shape in flower: flower stalks with upright spikes,Special characteristics: non-aggressive non-invasive native to North America - Native to eastern North America Special uses: cut flowers - The cut flowers are attractive but short-lived. New England asters (A. novae-angliea) last longer. wildflowers naturalistic garden,How to plant: Propagate by division or separation - Divide at least every 2 years to maintain health. Space to allow for good air circulation when replanting.May self-seed. Hybrids may not breed true. Maintenance and care: Tall varieties are more likely to require staking. Pinching or cutting them back several times before late July will reduce their height  increase bushiness  delay flowering  produce more flowers and reduce staking needs.To reduce foliage diseases  thin stems so they are about 1 inch apart. Cutting the outer stems lower than those to the inside of the plant encourages a fuller  more rounded shape.Deadhead or cut plants to the ground after flowering to prevent self-seeding. Self-seeded plants aren't true to parental type.Divide every 1 to 2 years in spring. More growing information: How to Grow Perennials Pests: Rosy blister gallAphidsTarsonemid mitesNematodesSlugs and snails Diseases: Verticillium wiltGray moldPowdery mildewRustWhite smutAster yellowsLeaf spotsStem cankers
Astilbe - Chinese,Sunlight: full sun part shade Prefers shady  moist sites  but needs good drainage over winter. Can grow in direct sun with constant moisture. 'Pumila' tolerates dry soil better than other astilbes. Soil conditions: requires well-drained soil requires high fertility Prefers moist but well-drained soil. Can grow in drier soils if watered during dry spells. Hardiness zones: 4 to 8 May be marginally hardy in Zone 3. Special locations: outdoor containers - Can be forced to flower inside after exposing to temperatures below 40 F for 3 months.,Lifecycle: perennial Ease-of-care: easy Height: 1 to 6 feet Most varieties grow about 1.5 to 3 feet tall. 'Davidii' grows up to 6 feet tall. 'Pumila' grows to 1 foot tall. Spread: 1 to 2 feet Bloom time: mid-summer late summer Flower color: violet white pink Varies with variety from white to reddish-pink and rosy purple. Foliage color: dark green Variations include bronze-green and reddish green. Foliage texture: medium Shape: cushion  mound or clump Shape in flower: flower stalks with upright spikes Tiny  wispy blooms borne in dense plume-like clusters on erect  branching flower stems.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to China bears ornamental fruit - Spent flowers are attractive and can be left until spring. Special uses: cut flowers - Cut when half open. dried flowers - Cut when blooms are just open  remove all leaves  and hang in a dark well-venilated area.The dried seed heads can also be used.,How to plant: Propagate by division or separation - Divide in spring. Division every 3 or 4 years helps keep plants healthy. Discard old  weakened rhizomes and replant only newer  healthy roots. Maintenance and care: Deadhead if self-seeding is a problem  but it won't induce more flowering. Astilbes generally do not need staking.Water during dry spells. Remove dead leaves or cut back plants to the ground if their foliage becomes dried out and brown during summer. This will encourage more foliage growth if cool  moist conditions return  or plants may remain dormant until spring. Allow spent foliage to remain for the winter. Spent blooms are ornamental in fall and winter. Cut back to the ground in the spring. Astilbes are heavy feeders and respond well to high-nitrogen fertilizer in fall.Needs well-drained soil overwinter. More growing information: How to Grow Perennials Pests: Tarnished plant bugWhite flyBlack vine weevil Japanese beetle Diseases: Powdery mildewBacterial leaf spotCercospora leaf spot
Hybrid Astilbe,Sunlight: full sun part shade Prefers shady  moist sites. Can grow in direct sun with constant moisture. Soil conditions: requires well-drained soil requires damp soil requires high fertility Prefers shady  moist sites  but needs good drainage overwinter. Can grow in direct sun with constant moisture. Hardiness zones: 4 to 9 May be damaged by late spring frosts  but rebound quickly. Special locations: outdoor containers - Can be forced to flower inside after exposing to temperatures below 40 F for 3 months.,Lifecycle: perennial Ease-of-care: moderately difficult Height: 1.5 to 4.5 feet Most varieties are about 2 to 3 feet tall. Spread: 1 to 2 feet Bloom time: late spring early summer mid-summer late summer early fall Depends on variety. Flower color: red orange violet white pink Depending on variety  blooms in shades of red  pink  white  purple and peach. Foliage color: medium green dark green other Sometimes tinted with bronze  depending on variety. Foliage texture: medium Shape: cushion  mound or clump Shape in flower: flower stalks with upright spikes Tiny blooms borne in dense plume-like panicles on erect flower stems.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Product of horticultural selection bears ornamental fruit - Spent flowers are attractive and can be left until spring. Special uses: dried flowers - Cut when blooms are just open  remove all leaves  and hang in a dark well-venilated area.The dried seed heads can also be used.,How to plant: Propagate by division or separation - Divide in spring. Division every 3 or 4 years helps keep plants healthy. Discard old  weakened rhizomes and replant only newer  healthy roots. Maintenance and care: Deadhead if self-seeding is a problem  but it won't induce more flowering. Astilbes generally do not need staking.Water during dry spells. Remove dead leaves or cut back plants to the ground if their foliage becomes dried out and brown during summer. This will encourage more foliage growth if cool  moist conditions return  or plants may remain dormant until spring. Allow spent foliage to remain for the winter. Spent blooms are ornamental in fall and winter. Cut back to the ground in the spring. Astilbes are heavy feeders and respond well to high nitrogen fertilizer in fall.Needs well-drained soil overwinter. More growing information: How to Grow Perennials Pests: Tarnished plant bugWhite flyBlack vine weevil Japanese beetle Diseases: Powdery mildewBacterial leaf spotCercospora leaf spot
Aubrieta,Sunlight: full sun Tolerates part shade. Soil conditions: requires well-drained soil Prefers very well drained (rocky or sandy) sites rich in lime. Hardiness zones: 4 to 8 Special locations: rock gardens,Lifecycle: perennial Ease-of-care: easy Height: 0.5 to 0.75 feet Spread: 1 to 2 feet Bloom time: mid-spring late spring early summer Flower color: red violet pink Foliage color: gray-green Foliage texture: medium Shape: low and trailing spreading mass Mat-forming. Shape in flower: same as above,Special characteristics: non-aggressive non-invasive not native to North America - Mediterranean  Asia Minor evergreen,How to plant: Propagate by seed  cuttings  division or separation - Cuttings are usually more successful than division.Take softwood or semi-ripe cuttings from early- to mid-summer. Remove the lower leaves and root in sand.Purchased seed is easy to germinate  but saved seed may not breed true to type. Maintenance and care: Cut the plants back severely after flowering to prevent seeding and encourage healthy foliage growth and secondary blooms.Do not prune in fall. Remove damaged foliage in spring.Short lived if drainage is poor or weather is hot. Divide every 1 to 3 years. More growing information: How to Grow Perennials
Autumn Snakeroot,Sunlight: part shade Soil conditions: requires well-drained soil requires high fertility Tolerates poor drainage Prefers moist  acidic  rich soil  but is more tolerant of alkaline soil that other Cimicifuga species. Hardiness zones: 4 to 8 Possibly hardy in Zone 3. Late-blooming plants are susceptible to early fall frosts.,Lifecycle: perennial Ease-of-care: easy Height: 2 to 4 feet Spread: 2 to 3 feet Bloom time: early fall mid-fall Flower color: white Foliage color: medium green dark green purple Sometimes flushed with purple. Foliage texture: medium Shape: cushion  mound or clump upright Forms clumps of fern-like foliage followed by upright flower spikes. Shape in flower: flower stalks with upright spikes Flowers borne on stems rising above the foliage. The stems are often gracefully arching.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to Russia  China  Korea and Japan,How to plant: Propagate by division or separation - Divide carefully in spring or fall  but no sooner than 3 years after planting. Division is difficult due to tough  snake-like  roots. Division is rarely needed  as clumps can remain undisturbed indefinitely.Sow seeds in containers in fall in cold frame for germination the following spring. Maintenance and care: Protect from direct sun and keep soil moist to prevent foliage from burning.Flower stalks may require staking. ('White Pearl' does not require staking.)Leave seedheads on plants for fall and winter interest. Cut back in spring.Plants are slow-growing and seldom require division. Divide carefully in spring or fall. More growing information: How to Grow Perennials Pests: Tarnished plant bug Diseases: RustLeaf spots
Balloon Flower,Sunlight: full sun part shade Prefers full sun in cool areas but part shade where summers are hot. Soil conditions: tolerates acid soil requires well-drained soil tolerates low fertility Hardiness zones: 4 to 9 Possibly hardy in Zone 3.,Lifecycle: perennial Ease-of-care: easy Height: 2.5 to 3.5 feet Some dwarf varieties grow just 6 inches tall. Spread: 0.5 to 1 feet Bloom time: early summer mid-summer late summer Flower color: blue violet white pink Foliage color: medium green Foliage texture: medium Shape: cushion  mound or clump upright Tall varieties are upright  while dwarf varieties tend to be more rounded. Shape in flower: flower stalks with flowers as cups Flower buds swell up like balloons and will pop when squeezed.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to China and Japan. Special uses: cut flowers,How to plant: Propagate by seed  division or separation - Plants take a few years to become established and do not tolerate division well. When necessary  divide early in the spring when the plants are no more than 3 to 4 inches tall. Some cultivars bloom from seed the first year. Maintenance and care: Tall varieties may need to be staked. Divide only when the clump becomes overcrowded. This is truly a low maintenance plant that is long-lived and blooms reliably. Since it is one of the last perennials to emerge in the spring  mark its position and take care not to damage it before it emerges. More growing information: How to Grow Perennials
Balsam,Sunlight: part shade full shade Soil conditions: requires well-drained soil tolerates damp soil Prefers rich soil that is kept moist but not soggy. Performs best in warm weather.,Lifecycle: annual Ease-of-care: easy Height: 1 to 2.5 feet Spread: 1 to 1.5 feet Bloom time: early summer mid-summer late summer early fall mid-fall Flowers until frost. Flower color: red orange yellow violet white pink Foliage color: medium green Foliage texture: medium Shape: upright Shape in flower: same as above Bears flowers along stem  nestled in with the leaves.,Tolerates: heat Special characteristics: aggressive non-invasive not native to North America - Southeast Asia Special uses: direct-seeding,How to plant: Propagate by seed - Balsam is a prolific self-sower. After one season of growth  it generally reappears from self sown seeds the next year. After frost has passed  scatter seeds where desired  or sow seeds indoors 6 to 8 weeks before the last spring frost. Do not cover the seeds with soil  as they need light to germinate. Until the seeds germinate  cover the seed trays with clear plastic to maintain high humidity. Water from below to prevent damping off. Germination temperature: 65 F to 70 F Days to emergence: 7 to 14 Maintenance and care: May be a weedy nuisance due to its self seeding habits. Keep soil moist but not soggy. More growing information: How to Grow Annuals Diseases: OedemaParasitic nematodesPowdery mildew
Red Baneberry,Sunlight: part shade full shade Soil conditions: requires well-drained soil tolerates damp soil Woodland plant  prefers rich soil that is kept moist but not soggy. Hardiness zones: 3 to 9 Sometimes reported hardy to Zone 2. May be difficult to grow in hot areas Zone 7 and warmer.,Lifecycle: perennial Ease-of-care: easy Height: 1.5 to 3.5 feet Spread: 1 to 2.5 feet Bloom time: late spring Flower color: white Small flowers are fluffy and dome-shaped. Foliage color: medium green Foliage texture: fine Loose and airy. Shape: cushion  mound or clump loose and formless Shape in flower: same as above,Special characteristics: deer resistant non-aggressive non-invasive native to North America - Eastern North America bears ornamental fruit - Clusters of red berries on green stalks in fall.,How to plant: Propagate by seed  division or separation - Divide in spring or autumn. Can be easily grown from seeds freshly harvested from berries (remove the flesh of the fruit and sow the bare seeds)  but may take more than 1 year to germinate from dried seed. Maintenance and care: Remove dead foliage in fall after berries drop. More growing information: How to Grow Perennials
White Baneberry,Sunlight: part shade full shade Soil conditions: requires well-drained soil tolerates damp soil A woodland plant that prefers rich soil that is kept moist but not soggy. Hardiness zones: 3 to 9 Sometimes reported hardy to Zone 2. May be difficult to grow in hot areas Zone 7 and warmer.,Lifecycle: perennial Ease-of-care: easy Height: 1.5 to 3.5 feet Spread: 1 to 2 feet Bloom time: late spring Flower color: white The small flowers are fluffy and dome-shaped. Foliage color: medium green Foliage texture: fine Shape: loose and formless The foliage is loose and airy. Shape in flower: same as above,Special characteristics: non-aggressive non-invasive native to North America - Eastern North America bears ornamental fruit - White berries with black “eyes” borne on red stems in late summer/early fall.,How to plant: Propagate by seed  division or separation - Divide in spring or autumn. Can be easily grown from seeds freshly harvested from berries. Remove the flesh of the fruit and sow the bare seeds. May take more than 1 year to germinate from dried seed. Maintenance and care: Remove dead foliage in fall after berries drop. More growing information: How to Grow Perennials
