Name,Description,Sun,Soil,Water,,,,,,,,,,,,,,,,,,,,,,
Cardinal Flower,Cardinal Flower is known for its vivid scarlet red blooms. This flower can grow as high as 4 feet and attracts beneficial insects. It is part of the Bellflower family.,Plant in partial shade.,Needs damp soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Carnation,Carnation (also known as Dianthus caryophyllus) is a very popular flower for both gardens and bouquets. Each color represents a symbol of love or friendship. Each color has its own meaning similar to roses.,Plant in partial shade.,Needs well-drained soil.,Blooms in early spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Castor Bean,Castor Bean is a great plant for backdrops in a garden - it has large leaves and can grow up to 10 feet tall. It is also known as Ricinus communis and is used to create a toxic and illegal substance: ricin.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Catmint,The catmint plant is easy to take care of/tolerates dry climates/and is loved by cats. It is an herb that yields bluish-purple flowers.,Plant in full sun or partial shade.,Needs dry soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Celosia,Celosia (also known as Cocks Comb) is a fascinating unique looking flower that blooms in a variety of warm colors. They are an annual flower.,Plant in full sun or partial shade.,Needs dry soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Chives,Chives are known for being a popular herb - the flowers it produces are a beautiful purple that can be perfect for edging in flower gardens. This is a close relative of green onions/shallots/leeks.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum,Chrysanthemum is perfect for fall gardens as they produce fantastic flowers with lots of colors later in the season than most others. They are often called Mums and are a popular flower for Mother’s Day.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to late fall.,,,,,,,,,,,,,,,,,,,,,,
Clary Sage,Clary Sage is the perfect flower to grow in containers if you don’t have space for a garden. These flowers are often used as decorations in the home or dried.,Plant in full sun or partial shade.,Need well-drained soil.,Blooms in late spring to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Cleome,Cleome (also known as the spider flower) is very easy to grow but can quickly spread and take over a garden as they self-seed. They are annual flowers and are fairly easy to grow.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Cockscomb,Cockscomb plants are known for their odd bloom formation - which resembles a brain. These flowers will certainly be a conversation starter.,Plant in full sun.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Coleus,Coleus Plants are a leafy or succulent plant that comes in many species. They can produce a wide array of colors. Even though they are perennials they typically show up as annuals because of their sensitivity to cold climates.,Plant in partial shade.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Columbine,Columbine flowers are short-lived; when they bloom they are a stunning addition to any garden. They come in call colors of the rainbow and is the official state flower of Colorado.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Comfrey,Comfrey produces a variety of blue and purple flowers. The leaves from this plant are also loaded with nutrients that make a great addition to fertilizer or compost.,Plant in full sun or partial shade.,Needs damp soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Coneflower,The Coneflower is Native to America and produces a variety of colors that are perfect for attracting butterflies and honey bees.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Coreopsis,Coreopsis is a bright long-lasting flower that attracts both birds and butterflies. It is commonly known as tickseed and is an easy-to-care-for perennial.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Corydalis,Corydalis is a bright flower that is long-lasting and perfect for shady areas. It is also used as a medicinal supplement - primarily in extract or powder form - to address depression and act as a sedative.,Plant in partial shade or full shade.,Needs well-drained soil.,Blooms in early summer or early fall.,,,,,,,,,,,,,,,,,,,,,,
Cosmos,The cosmos flower grows in a variety of pinks that will last all season and is part of the sunflower family. The unique foliage makes a great backdrop for other shorter plants.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Crocus,Crocus flowers are one of the earliest growing plants of spring. They deal well with cool weather as long as they get the proper amount of sunlight and are a perennial.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Crown Imperial,The Crown Imperial is a unique plant grows all of its flowers on one long stem. It produces warm color blooms and is also known as Fritillaria imperialis.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-spring.,,,,,,,,,,,,,,,,,,,,,,
Cushion Spurge,Cushion Spurge is perfect for dry climates with interesting foliage that can be red/purple/green. It’s also known as Euphorbia epithymoides.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Cyclamen,Cyclamen is popular due to its heart-shaped petals. This flower is also a perfect food source for both insects and animal. It is a perennial.,Plant in partial shade.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Daffodil,Daffodils are a well-known flower that is often representative of spring. These are some of our favorite flowers to see in the gardens every year. Daffodils come in many colors with one to 5 flowers per stem.,Plant in full sun.,Needs well-drained soil.,Blooms in spring.,,,,,,,,,,,,,,,,,,,,,,
Dahlia,Dahlia is a popular tubular flower that has 42 different species and grows in a variety of bright colors. It’s native to Central America and Mexico and grows from small tubers.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Daisy,The daisy is an easy to grow flower that is instantly recognizable. Brightly-colored Gerbera daisies are our absolute favorites but there are numerous other types of daisies.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Dame’s Rocket,Dame’s Rocket is found in white and violet - this flower is easy to grow and can spread quickly in the right conditions. It is both fragrant and edible. It’s also extremely invasive.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Delphinium,Delphinium is also known as Larkspur. They appear in long stalks of pink/blue/white/purple and are perennial.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Dianthus,Dianthus are uniquely scented with pink/purple/ white blooms. This flower is easy to grow and is often found in wedding bouquets. It’s also known as a Pink flower.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Diascia,The Diascia plant produces a delicate pink flower that has become popular because it can be planted so early in the spring. It’s also known as Twinspur.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Dusty Miller,The Dusty Miller plant (also known as Silver ragwort) has a silver foliage that resembles lace. It is commonly used for backdrops in gardens containing bright flowers.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Dutchman’s Breeches,Dutchman’s Breeches is recognizable for its up-side-down hanging flowers that look like a pair of pants. They are unique because ants spread their seeds. It flowers in spring and is also known as Dicentra cucullaria.,Plant in partial shade.,Needs well-drained soil.,Blooms in mid-spring.,,,,,,,,,,,,,,,,,,,,,,
Epimedium,Epimedium is a short growing flower that produces pink/yellow/purple flowers. It’s known by various different names including barrenwort/bishop’s hat/fairy wings/horny goat weed. This is occasionally used as a supplement since it produces effects similar to testosterone.,Plant in partial shade to full shade.,Needs well-drained soil.,Blooms in mid-spring to late spring.,,,,,,,,,,,,,,,,,,,,,,
Evergreen Candytuft,Evergreen Candytuft produces small puff-like blooms and is perfect for planting around rocks due to its cascading effect. It’s considered an evergreen though many gardeners prefer to treat it as a perennial. ,Plant in full sun.,Needs well-drained soil.,Blooms in mid-spring.,,,,,,,,,,,,,,,,,,,,,,
Fennel,Fennel is commonly grown for use in cooking. When grown for aesthetic reasons it can reach up to 6 feet tall and will attract butterflies.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Fountain Grass,Fountain Grass is an ornamental grass that comes in a variety of colors. It’s also referred to as crimson fountaingrass.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Foxglove,Foxglove flowers can be hard to grow. It takes two years for flowers to bloom but it is worth it to see the beautiful tubular flowers it produces.,Plant in all types of sun.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Gaillardia,Gaillardias are bright flowers that are great for hot dry areas. They are a genus of sunflowers and are also known as blanket flowers.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Gardenia,Gardenias are unofficially known as the flower of the South. These bright white flowers have beautiful contrasting dark leaves. They are part of the coffee family.,Plant in direct sun or partial shade.,Needs well-drained soil.,Blooms late summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Gas Plant,The gas plant (also known as Dictamnus) produces pink or white flowers which give off a flammable gas. It is recommended to wear gloves when touching this shrub. Another common name for this flowering plant is burning bush.,Plant in full sun.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Gaura,Gaura is a delicate perennial flower that resembles butterflies. This flower is perfect for flower beds and is native in both Texas and Louisiana.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Gazania,Gazanias are rugged plants that can handle extreme heat and drought. Their flowers can grow up to 4 inches across. The flower is also known as the African Daisy and is native to Southern Africa.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Geranium,Geraniums have been used in gardens for over a century and it’s still a popular plant due to its love of hot weather and multiple colors. This flowering plant is also known as Pelargonium.,Plant in all sun types.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Geum,Geum is a hard-to-grow flower with blooms that last only a couple of months. The colorful flower makes it worth growing! It’s commonly known as Avens and is part of the rose family.,Plant in all sun types.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Globe Thistle,Globe Thistles have bright blue and violet flowers which attract bees and butterflies. They are perennials and are also known as Echinops bannaticus.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Glory of the Snow,Glory of the Snow have vivid purple and blue blooms and provide perfect ground covering for gardens. Its scientific name is Chionodoxa and it is a perennial.,Plant in all sun types.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Goatsbeard,Goatsbeard have tall stalks of wispy white flowers that can reach up to 6 feet high. Its scientific name is Aruncus dioicus and is also known as bride’s feathers.,Plant in partial and full shade.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Golden Marguerite,Golden Marguerite is also known as golden or yellow chamomile and cota tinctoria. Its bright yellow blooms grow perfectly when mixed in with other close-growing plants. This is a perennial and looks a bit like a daisy.,Plant in full sun.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Gomphrena,Gomphrenas are known for their use in Hawaiian leis. These flowers are strong and easy to grow and are also referred to as globe amaranths. They are an annual flower and often have a bright pink color.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Heliconia,Heliconias produce orange and yellow blooms that resemble lobster claws. Ensure you have plenty of room if you plan to grow these as they are known to spread quickly and grow between 4-30 feet. They are beautiful tropical flowers and come in vivid shades.,Plant in direct sun.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Heliotrope,Heliotropes are a highly scented flower that grows purple/blue/white blooms. These are highly toxic to dogs and cats - be careful if you have pets around. These are symbolic flowers with multiple meanings including eternal love and religious devotion.,Plant in all sun types.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Hepatica,Hepatica flowers have blooms that come in shades of blue/pink/violet/white. The leaves of this plant resemble a human liver - which is where it gets its name from. They are actually part of the buttercup family.,Plant in partial shade or full shade.,Needs well-drained soil.,Blooms in early spring to mid-spring.,,,,,,,,,,,,,,,,,,,,,,
Hibiscus,Hibiscus blooms are different in that they actually grow on small trees. They tend to be a tropical island flower as they need a very specific climate to thrive.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Hollyhock,Hollyhocks can grow up to 3 feet tall with many blooms on each stalk in a popular garden plant. These flowers have the scientific name Alcea and bloom during the summer months. They’re known for making an appearance in the front of cottages andare found in many colors.,Plant in all sun types.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Hosta,Hostas (also known as Plantain lilies) are a commonly grown plant. They’re great to grow because of their love of shade and their visual variety. Hosta plants are hardy perennials.,Plant in partial shade to full shade.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Hyacinth,Hyacinths (also known as Hyacinthus) are fragrant flowers with large clusters of flowers in many different colors. They have beautiful blooms and often begin to appear in spring.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Hydrangea,Hydrangeas (also known as hortensia) feature clumping blooms that grow together in large bunches. This unique flower can be a challenge to grow - but once it blooms it becomes very easy to maintain.,Plant in full sun or partial shade.,Needs moist well-drained soil.,Blooms in early summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Hyssop,Hyssops are a long-blooming plant. They can grow up to 8 feet tall and attract hummingbirds and butterflies. Hyssopus Officinalis is a medicinal plant used to treat a number of ailments including digestive issues.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Impatiens,Impatiens (also known as touch-me-not) are an indoor or outdoor plant with flowers in almost every color of the rainbow. New Guinea Impatiens are very popular and grow in a hot pink color.,Plant in partial shade or full shade.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Iris,Irises grow in a variety of colors that sometimes bloom both at the beginning of spring and then again in late summer. The iris flower is the state flower of Tennessee and the most frequently planted variety in the USA is the bearded iris.,Plant in all sun types.,Needs well-drained soil.,Blooms in early spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Jack-in-the-Pulpit,Jack-in-the-Pulpit (also known as Arisaema triphyllum) is a unique green flower with a leaflike bloom. It’s a perennial and has also been referred to as an Indian Turnip.,Plant in all sun types.,Needs well-drained soil.,Blooms in mid-spring to late spring.,,,,,,,,,,,,,,,,,,,,,,
Jacob’s Ladder,The Jacob’s Ladder plant has blue/white/purple blooms with leaves that resemble a ladder going up the stem. Its scientific name is polemonium caeruleum and it’s also referred to as Greek valerian. Jacob’s Ladder is hardy - making it a good choice for beginners.,Plant in all sun types.,Needs well-drained soil.,Blooms in late spring to mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Lady’s Mantle,Lady’s Mantle (or alchemilla mollis) is a medicinal herb that also has beautiful green foliage. It’s a hardy perennial and is known for its anti-inflammatory properties.,Plant in all sun types.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Lantana,Lantana is perfect for hot dry areas. These flowers grow in many warm colors and will attract butterflies and hummingbirds. They are part of the Verbena family and prefer warm temperatures.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Lavender,Lavender is easily recognized by its purple blooms and strong scent. The flower is often used as part of aromatherapy for its essential oils and relaxing properties.,Plant in full sun.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Lavender Cotton,Lavender Cotton (Santolina chamaecyparissus) is used in gardens for its contrasting foliage and unique green and silver color. It’s an evergreen shrub which yields yellow blooms.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Leadwort,Leadwort - part of the plumbago family - is a late-blooming flower that will provide bright colors to any garden. It is a perennial that is frequently used for groundcover.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Lemon Balm,Lemon Balm (also known as balm mint) is a bright green leafy plant that will help keep mosquitoes away. This herb is often used as a tea.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Lilac,Lilac is also known as Syringa or Syringa vulgaris. People assume that they are always purple - however lilac also blooms in white. They have a beautiful meaning – both early love as well as innocence.,Plant in full sun.,Mosit well-drained soil.,Blooms in mid-spring to late spring.,,,,,,,,,,,,,,,,,,,,,,
Lily,Lilies are a highly recognized flower that has bright colors and a strong scent. They come in a variety of colors and have trumpet-like blooms. ,Plant in full sun.,Needs well-drained soil.,Blooms in spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Lily of the Valley,The Lily of the Valley (also known as a Victorian flower or Convallaria majalis) is an easy plant to grow. Once it blooms the flowers will only stay alive for about one week. This plant is often used as ground cover and its blooms have a sweet smell.,Plant in partial shade.,Needs moist soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Lisianthus,Lisianthus flowers (Eustoma grandiflorum) can bloom late into the season if taken care of properly — it is important always to keep them watered well after the first bloom. They are perennial and grow best in warm climates.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Lobelia,Lobelias have interesting blooms with a combination of white/red/violet/blue color and are often found in hanging pots. They are also known for their medicinal qualities and used to treat athsma and other respiratory issues.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Lupine,Lupine flowers feature cone-shaped blooms and come in a variety of colors. These wildflowers grow on long stems.,Plant in full sun to partial shade.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Maiden Pink,Maiden Pink dianthus is used as ground cover. These blooms have a unique pattern in shades of pink and white. They are known to partially close up at dawn.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
